code,name,super_code
3,"mexico",
4,"surinam",
4,"suriname",
5,"sweden",
6,"switzerland",
7,"ghana",
8,"cape colony/south africa",
8,"south africa",
8,"southafrica",
9,"japan",
10,"burma",
10,"burma myanmar",
10,"burma/myanmar",
10,"myanmar",
10,"myanmar (burma)",
11,"russia",
11,"russia (soviet union)",
11,"russia/u.s.s.r.",
11,"russian federation",
11,"u.s.s.r.",
11,"ussr",
12,"albania",
13,"egypt",
13,"egypt, arab republic",
14,"yemen",
14,"yemen (arab republic of yemen)",
14,"yemen arab republic",
14,"yemen arab republic of",
14,"yemen n.arab",
14,"yemen rep.",
14,"yemen:north",
15,"colombia",
15,"columbia",
17,"poland",
19,"brasil",
19,"brazil",
20,"u.s.a.",
20,"united states",
20,"united states of america",
20,"unitedstates",
20,"us",
20,"usa",
21,"portugal",
22,"el salvador",
22,"elsalvador",
23,"south yemen",
23,"yemen people's republic",
23,"yemen people's democratic republic of",
23,"yemen people's republic of",
23,"yemen south",
23,"yemen:south",
24,"bangladesh",
25,"bolivia",
25,"bolivia (plurinational state of)",
26,"haiti",
27,"honduras",
28,"mali",
29,"pakistan",
30,"peru",
31,"senegal",
32,"south sudan",
33,"sudan",
34,"viet nam",
34,"vietnam",
34,"vietnam (annam/cochin china/tonkin)",
34,"vietnam democratic republic of",
34,"vietnam north",
35,"republic of vietnam",
35,"vietnam republic of",
35,"vietnam south",
36,"afghanistan",
36,"afghanistan, i.r. of",
37,"argentina",
38,"ethiopia",
39,"india",
40,"kenya",
41,"democratic people's republic of korea",
41,"korea north",
41,"korea democratic republic",
41,"korea democratic people's republic",
41,"korea north",
41,"korea people's republic of",
41,"korea:north",
41,"north korea",
41,"n. korea",
42,"korea",
42,"korea south",
42,"korea republic",
42,"korea republic of",
42,"korea, south",
42,"korea:south",
42,"republic of korea",
42,"south korea",
42,"s. korea",
42,"south korea",
43,"kosovo",
44,"lebanon",
45,"nigeria",
46,"philippines",
47,"tanzania",
47,"tanzania, united republic of",
47,"tanzania:tanganyika",
47,"tanzania/tanganyika",
47,"united republic of tanzania",
48,"taiwan",
48,"taiwan china",
48,"taiwan province of china",
49,"siam",
49,"thailand",
50,"uganda",
51,"venezuela",
51,"venezuela, bolivarian republic of",
51,"venezuela, rb",
51,"venezuela, republic bol.",
52,"benin",
53,"bhutan",
54,"burkina faso",
54,"burkina faso (upper volta)",
55,"cambodia",
55,"cambodia (kampuchea)",
55,"kampuchea democratic",
56,"indonesia",
57,"mozambique",
58,"nepal",
59,"nicaragua",
60,"niger",
61,"zambia",
62,"zimbabwe",
62,"zimbabwe (rhodesia)",
63,"guinea",
64,"cote d'ivoire",
64,"cote d'ivoire (ivory coast)",
64,"cote divoire",
64,"ivory coast",
65,"mauritania",
65,"mauritania islamic",
66,"canada",
67,"australia",
68,"bechuanaland",
68,"botswana",
69,"burundi",
70,"cabo verde",
70,"cape verde",
70,"cape verde island",
71,"cear",
71,"centr. african republic",
71,"central african republic",
72,"chile",
73,"costa rica",
74,"east timor",
74,"timor",
74,"timor leste",
74,"timor-leste",
74,"timor-leste (east timor)",
74,"timore-leste",
75,"ecuador",
76,"france",
77,"federal republic of germany",
77,"german federal republic",
77,"germany",
77,"germany (prussia)",
77,"germany federal republic of",
77,"germany west",
77,"germany:west",
78,"guatemala",
79,"iran",
79,"iran (islamic republic of)",
79,"iran (persia)",
79,"iran i.r. of",
79,"iran islamic republic",
79,"iran islamic republic of",
80,"iraq",
81,"ireland",
81,"ireland:republic",
82,"italy",
83,"jordan",
84,"latvia",
85,"basutoland",
85,"lesotho",
86,"liberia",
87,"malawi",
88,"maldives",
89,"mongolia",
90,"morocco",
91,"holland",
91,"netherlands",
91,"netherlands the",
92,"panama",
93,"pap. new guinea",
93,"papua new guinea",
94,"qatar",
95,"sierra leone",
96,"spain",
97,"syria",
97,"syria (syrian arab republic)",
97,"syrian arab republic",
98,"tunisia",
99,"turkey",
99,"turkey (ottoman empire)",
99,"turkey/ottoman empire",
100,"ukraine",
101,"england",
101,"england/gb/uk",
101,"england/gb/uk",
101,"great britain",
101,"u.k.",
101,"uk",
101,"united kingdom",
101,"united kingdom (great britain)",
102,"uruguay",
103,"algeria",
104,"angola",
105,"armenia",
106,"azerbaijan",
106,"azerbaijan republic of",
107,"belarus",
108,"cameroon",
109,"chad",
110,"china",
110,"china mainland",
110,"china people's republic of",
111,"congo - kinshasa",
111,"congo dr",
111,"congo democratic republic of",
111,"congo democratic r.",
111,"congo democratic republic",
111,"congo democratic republic of (zaire)",
111,"congo democratic republic of the",
111,"congo drc",
